,id,택정_50,택정_100,택정_200,택정_300,택정평균점수
455,25487,0,0,0,0,0.0
456,25486,0,0,0,0,0.0
457,25485,0,0,0,0,0.0
458,25484,0,0,0,0,0.0
459,25483,0,0,0,0,0.0
460,25482,0,0,0,0,0.0
461,25481,0,0,0,0,0.0
462,25480,0,0,0,0,0.0
463,25479,0,0,0,0,0.0
464,25478,0,0,0,0,0.0
465,25477,0,0,0,0,0.0
466,25476,0,0,0,0,0.0
467,25475,0,0,0,0,0.0
468,25474,0,0,0,0,0.0
469,25473,0,0,0,0,0.0
470,25472,0,0,2,1,0.75
471,25471,4,3,2,1,2.5
472,25470,0,3,2,1,1.5
473,25469,0,0,0,1,0.25
474,25468,0,0,0,0,0.0
475,25467,0,0,0,0,0.0
476,25466,0,0,0,1,0.25
477,25465,0,0,0,0,0.0
478,25464,0,0,0,0,0.0
479,25463,0,0,0,0,0.0
480,25462,0,0,0,0,0.0
481,25461,0,0,0,0,0.0
482,25460,0,0,0,0,0.0
483,25459,0,0,0,0,0.0
484,25359,0,0,0,0,0.0
485,25358,0,0,0,0,0.0
486,25357,0,0,0,0,0.0
487,25356,0,0,0,0,0.0
488,25355,0,0,0,0,0.0
489,25354,0,0,0,0,0.0
490,25353,0,0,0,0,0.0
491,25352,0,0,0,0,0.0
492,25351,0,0,0,0,0.0
493,25350,0,0,0,0,0.0
494,25349,0,0,0,0,0.0
495,25348,0,0,0,0,0.0
496,25347,0,0,0,0,0.0
497,25346,0,0,0,0,0.0
498,25345,0,0,0,0,0.0
499,25344,0,0,0,0,0.0
500,25343,0,0,0,0,0.0
501,25342,0,0,0,0,0.0
502,25341,0,0,0,0,0.0
503,25340,0,0,0,0,0.0
504,25339,0,0,0,0,0.0
505,25338,0,0,0,0,0.0
506,25337,0,0,0,0,0.0
507,25336,0,0,0,0,0.0
508,25335,0,0,0,0,0.0
509,25334,0,0,0,0,0.0
510,25333,0,0,0,0,0.0
511,25332,0,0,0,0,0.0
512,25331,0,0,0,0,0.0
513,25330,0,0,0,0,0.0
514,25329,0,0,0,0,0.0
515,25328,0,0,0,0,0.0
516,25327,0,0,0,0,0.0
517,25326,0,0,0,0,0.0
518,25325,0,0,0,0,0.0
519,25324,0,0,0,0,0.0
520,25323,0,0,0,0,0.0
521,25322,0,0,0,0,0.0
522,25321,0,0,0,0,0.0
523,25320,0,0,2,1,0.75
524,25319,4,3,2,1,2.5
525,25318,0,3,2,1,1.5
526,25317,0,0,0,1,0.25
527,25316,0,0,0,0,0.0
528,25315,0,0,0,0,0.0
529,25314,0,0,0,0,0.0
530,25313,0,0,0,0,0.0
531,25312,0,0,0,0,0.0
532,25311,0,0,0,0,0.0
533,25310,0,0,0,0,0.0
534,25309,0,0,0,0,0.0
535,25308,0,0,0,0,0.0
536,25307,0,0,0,0,0.0
537,25207,0,0,0,0,0.0
538,25206,0,0,0,0,0.0
539,25205,0,0,0,0,0.0
540,25204,0,0,0,0,0.0
541,25203,0,0,0,0,0.0
542,25202,0,0,0,0,0.0
543,25201,0,0,0,0,0.0
544,25200,0,0,0,0,0.0
545,25199,0,0,0,0,0.0
546,25198,0,0,0,0,0.0
547,25197,0,0,0,0,0.0
548,25196,0,0,0,0,0.0
549,25195,0,0,0,0,0.0
550,25194,0,0,0,1,0.25
551,25193,0,0,0,1,0.25
552,25192,0,0,0,0,0.0
553,25191,0,0,0,0,0.0
554,25190,0,0,0,0,0.0
555,25189,0,0,0,0,0.0
556,25188,0,0,0,0,0.0
557,25187,0,0,0,0,0.0
558,25186,0,0,0,0,0.0
559,25185,0,0,0,0,0.0
560,25184,0,0,0,0,0.0
561,25183,0,0,0,0,0.0
562,25182,0,0,0,0,0.0
563,25181,0,0,0,0,0.0
564,25180,0,0,0,0,0.0
565,25179,0,0,0,0,0.0
566,25178,0,0,0,0,0.0
567,25177,0,0,2,1,0.75
568,25176,0,0,2,1,0.75
569,25175,0,0,2,1,0.75
570,25174,0,0,0,1,0.25
571,25173,0,0,0,0,0.0
572,25172,0,0,0,0,0.0
573,25171,0,0,0,0,0.0
574,25170,0,0,0,0,0.0
575,25169,0,0,0,0,0.0
576,25168,0,0,0,1,0.25
577,25167,0,0,2,1,0.75
578,25166,0,0,0,1,0.25
579,25165,0,0,0,0,0.0
580,25164,0,0,0,0,0.0
581,25163,0,0,0,0,0.0
582,25162,0,0,0,0,0.0
583,25161,0,0,0,0,0.0
584,25160,0,0,0,0,0.0
585,25159,0,0,0,0,0.0
586,25158,0,0,0,0,0.0
587,25157,0,0,0,0,0.0
588,25156,0,0,0,0,0.0
589,25155,0,0,0,0,0.0
590,25055,0,0,0,0,0.0
591,25054,0,0,0,0,0.0
592,25053,0,0,0,0,0.0
593,25052,0,0,0,0,0.0
594,25051,0,0,0,0,0.0
595,25050,0,0,0,0,0.0
596,25049,0,0,0,0,0.0
597,25048,0,0,0,0,0.0
598,25047,0,0,0,0,0.0
599,25046,0,0,0,0,0.0
600,25045,0,0,0,0,0.0
601,25044,0,0,0,0,0.0
602,25043,0,0,0,1,0.25
603,25042,0,3,2,1,1.5
604,25041,0,3,2,1,1.5
605,25040,0,0,0,1,0.25
606,25039,0,0,0,0,0.0
607,25038,0,0,0,0,0.0
608,25037,0,0,0,0,0.0
609,25036,0,0,0,0,0.0
610,25035,0,0,0,0,0.0
611,25034,0,0,0,0,0.0
612,25033,0,0,0,0,0.0
613,25032,0,0,0,0,0.0
614,25031,0,0,0,0,0.0
615,25030,0,0,0,0,0.0
616,25029,0,0,0,0,0.0
617,25028,0,0,0,0,0.0
618,25027,0,0,0,0,0.0
619,25026,0,0,0,0,0.0
620,25025,0,0,2,1,0.75
621,25024,4,3,2,1,2.5
622,25023,4,3,2,1,2.5
623,25022,0,0,0,1,0.25
624,25021,0,0,0,0,0.0
625,25020,0,0,0,0,0.0
626,25019,0,0,0,0,0.0
627,25018,0,0,0,0,0.0
628,25017,0,0,0,0,0.0
629,25016,0,0,0,0,0.0
630,25015,0,0,0,0,0.0
631,25014,0,0,0,0,0.0
632,25013,0,0,0,0,0.0
633,25012,0,0,0,0,0.0
634,25011,0,0,0,0,0.0
635,25010,0,0,0,0,0.0
636,25009,0,0,0,0,0.0
637,25008,0,0,0,0,0.0
638,25007,0,0,0,0,0.0
639,25006,0,0,0,0,0.0
640,25005,0,0,0,0,0.0
641,25004,0,0,0,0,0.0
642,25003,0,0,0,0,0.0
643,24903,0,0,0,0,0.0
644,24902,0,0,0,0,0.0
645,24901,0,0,0,0,0.0
646,24900,0,0,0,0,0.0
647,24899,0,0,0,0,0.0
648,24898,0,0,0,0,0.0
649,24897,0,0,0,0,0.0
650,24896,0,0,0,0,0.0
651,24895,0,0,0,0,0.0
652,24894,0,0,0,0,0.0
653,24893,0,0,0,0,0.0
654,24892,0,0,0,0,0.0
655,24891,0,0,0,1,0.25
656,24890,4,3,2,1,2.5
657,24889,4,3,2,1,2.5
658,24888,0,0,2,1,0.75
659,24887,0,0,0,0,0.0
660,24886,0,0,0,0,0.0
661,24885,0,0,0,0,0.0
662,24884,0,0,0,0,0.0
663,24883,0,0,0,0,0.0
664,24882,0,0,0,0,0.0
665,24881,0,0,0,0,0.0
666,24880,0,0,0,0,0.0
667,24879,0,0,0,0,0.0
668,24878,0,0,0,0,0.0
669,24877,0,0,0,0,0.0
670,24876,0,0,0,0,0.0
671,24875,0,0,0,0,0.0
672,24874,0,0,0,0,0.0
673,24873,0,0,2,1,0.75
674,24872,0,3,2,1,1.5
675,24871,0,3,2,1,1.5
676,24870,0,0,0,1,0.25
677,24869,0,0,0,0,0.0
678,24868,0,0,0,0,0.0
679,24867,0,0,0,0,0.0
680,24866,0,0,0,0,0.0
681,24865,0,0,0,0,0.0
682,24864,0,0,0,0,0.0
683,24863,0,0,0,0,0.0
684,24862,0,0,0,0,0.0
685,24861,0,0,0,0,0.0
686,24860,0,0,0,0,0.0
687,24859,0,0,0,0,0.0
688,24858,0,0,0,0,0.0
689,24857,0,0,0,0,0.0
690,24856,0,0,0,0,0.0
691,24855,0,0,0,0,0.0
692,24854,0,0,0,0,0.0
693,24853,0,0,0,0,0.0
694,24852,0,0,0,0,0.0
695,24851,0,0,0,0,0.0
696,24754,0,0,0,0,0.0
697,24753,0,0,0,0,0.0
698,24752,0,0,0,0,0.0
699,24751,0,0,0,0,0.0
700,24750,0,0,0,0,0.0
701,24749,0,0,0,0,0.0
702,24748,0,0,0,0,0.0
703,24747,0,0,0,0,0.0
704,24746,0,0,0,0,0.0
705,24745,0,0,0,0,0.0
706,24744,0,0,0,0,0.0
707,24743,0,0,0,0,0.0
708,24742,0,0,0,0,0.0
709,24741,0,0,0,0,0.0
710,24740,0,0,0,0,0.0
711,24739,0,0,0,1,0.25
712,24738,0,0,2,1,0.75
713,24737,0,0,2,1,0.75
714,24736,0,0,0,1,0.25
715,24735,0,0,0,0,0.0
716,24734,0,0,0,0,0.0
717,24733,0,0,0,0,0.0
718,24732,0,0,0,0,0.0
719,24731,0,0,0,0,0.0
720,24730,0,0,0,0,0.0
721,24729,0,0,2,1,0.75
722,24728,0,0,2,1,0.75
723,24727,0,0,2,1,0.75
724,24726,0,0,0,1,0.25
725,24725,0,0,0,0,0.0
726,24724,0,0,0,1,0.25
727,24723,0,0,0,1,0.25
728,24722,0,0,0,1,0.25
729,24721,0,0,0,0,0.0
730,24720,0,0,0,1,0.25
731,24719,0,0,0,1,0.25
732,24718,0,0,0,0,0.0
733,24717,0,0,0,0,0.0
734,24716,0,0,0,0,0.0
735,24715,0,0,0,0,0.0
736,24714,0,0,0,0,0.0
737,24713,0,0,0,0,0.0
738,24712,0,0,0,0,0.0
739,24711,0,0,0,0,0.0
740,24710,0,0,0,0,0.0
741,24709,0,0,0,0,0.0
742,24708,0,0,0,0,0.0
743,24707,0,0,0,0,0.0
744,24706,0,0,0,0,0.0
745,24705,0,0,0,0,0.0
746,24704,0,0,0,0,0.0
747,24703,0,0,0,0,0.0
748,24702,0,0,0,0,0.0
749,24701,0,0,0,0,0.0
750,24700,0,0,0,0,0.0
751,24699,0,0,0,0,0.0
752,24602,0,0,0,0,0.0
753,24601,0,0,0,0,0.0
754,24600,0,0,0,0,0.0
755,24599,0,0,0,0,0.0
756,24598,0,0,0,0,0.0
757,24597,0,0,0,0,0.0
758,24596,0,0,0,0,0.0
759,24595,0,0,0,0,0.0
760,24594,0,0,0,0,0.0
