gid,건물1,건물2,건물3,관공서,전기차,주차장,충전소,변압기,전기안전관,lon,lat,교통량,경제인구
다사74bb66aa,27,0,0,2,0,0,0,0,0,127.2150086,37.69433568,100,225
다사82ba57ba,46,0,0,0,0,0,0,0,0,127.3031182,37.61790169,100,22
다사71aa58ab,16,0,0,0,0,0,0,0,0,127.17278,37.62437233,100,10
다사74ba56ab,9,0,0,0,0,0,0,0,0,127.2125119,37.6064489,100,15
다사82ab61ab,6,1,0,0,0,0,0,0,0,127.3001949,37.6516972,100,0
다사73ba59ab,4,4,0,0,0,0,0,0,0,127.2010742,37.63346084,100,583
다사77aa51ba,1,0,0,0,0,0,0,0,0,127.240984,37.56370064,100,0
다사73ab54bb,18,4,0,0,0,0,0,0,2,127.1984047,37.59289347,100,10
다사65ba63ba,2,0,0,0,0,0,0,0,0,127.1102063,37.6715025,100,0
다사76bb60aa,0,0,0,0,0,0,0,0,0,127.2378845,37.64030843,,72
다사81aa73bb,2,0,0,0,0,0,0,0,0,127.2857003,37.76433841,,0
다사83bb52ab,0,0,0,0,0,0,0,0,0,127.317398,37.57060372,100,6
다사84ab67aa,20,0,0,0,0,0,0,0,0,127.3227445,37.70356019,100,80
다사86aa61bb,5,6,0,0,0,0,0,0,0,127.342697,37.65626824,100,1384
다사65aa61aa,15,0,0,0,0,0,0,0,0,127.1046562,37.64895061,100,126
다사73ab71aa,1,7,0,0,1,0,0,0,0,127.1978115,37.73935938,100,1526
다사71ba66ba,3,0,0,0,0,0,0,0,0,127.1781251,37.69874744,100,6
다사85aa65ba,25,0,0,0,0,0,0,0,0,127.3312833,37.69005269,100,8
다사85aa64ba,37,0,0,0,0,0,0,0,0,127.3313038,37.68103934,100,14
다사72ab60bb,12,0,0,0,0,0,0,0,0,127.1868506,37.64694407,100,6
다사80bb73bb,5,0,0,0,0,0,0,1,0,127.2828619,37.76433321,100,14
다사66aa63aa,5,4,0,0,1,0,0,0,0,127.1158992,37.66701449,100,1194
다사82ba58ba,41,0,0,0,0,0,0,0,0,127.3030945,37.62691511,100,38
다사74aa60ab,3,0,0,0,0,0,0,0,0,127.2067056,37.6424884,,0
다사82ba60ba,6,7,0,1,1,0,0,0,0,127.3030469,37.64494192,100,787
다사79bb62aa,6,0,0,0,0,0,0,0,0,127.2718333,37.65840581,100,1122
다사79ba69aa,5,0,0,0,0,0,0,0,0,127.2688032,37.72149341,100,0
다사88bb63bb,2,0,0,0,0,0,0,0,0,127.3738435,37.67433248,100,38
다사85bb68aa,3,0,0,0,0,0,0,0,0,127.3397415,37.71259786,,8
다사72ba66ab,29,0,0,0,0,0,0,0,0,127.189478,37.69652455,100,33
다사69bb59ba,10,0,0,0,0,0,0,0,0,127.1585633,37.63559883,100,0
다사77ab61ab,21,0,0,0,0,0,0,0,0,127.2435131,37.65158758,100,51
다사83bb61aa,0,2,0,0,1,0,0,0,0,127.3172051,37.64947143,,261
다사73ba65ba,39,0,0,0,0,0,0,0,0,127.2008482,37.68979394,100,10
다사80ba70bb,3,0,0,0,0,0,0,0,0,127.2801035,37.7372883,100,8
다사70ab62ab,9,0,0,0,0,0,0,0,0,127.1641186,37.66040163,100,27
다사70aa60aa,22,0,0,0,0,0,0,0,0,127.1613763,37.64011365,100,10
다사70aa67ab,17,8,0,0,0,0,0,0,0,127.1610792,37.70545967,100,688
다사82ba46ab,6,0,0,0,0,0,0,0,0,127.3033849,37.51649969,,7
다사74bb57aa,4,0,0,0,0,0,0,0,0,127.2153185,37.61321581,100,9
다사72ab58bb,31,0,0,0,0,0,0,0,0,127.1869262,37.62891743,100,36
다사67aa60bb,6,0,0,0,0,0,0,0,0,127.1273391,37.64677109,100,720
다사72bb66ab,34,0,0,1,0,0,0,0,0,127.1923137,37.69653199,100,23
