adr,ymd,chenap_count,amount_car,chenap_adr1,chenap_adr2,lng,lat
동대문구 전농제1동 휘경로31길31-1,2021-06-08,3,449350,동대문구,휘경로31길,127.067182,37.595425
동대문구 답십리제2동 약령중앙로8길 6,2021-06-10,2,508520,성북구,장위로16길,127.037554,37.5815536
동대문구 답십리제2동 제기동 1179,2021-06-10,2,331520,광진구,긴고랑로7길,127.035914,37.5841489
서울 동대문구 천호대로 145,2021-06-11,2,266560,동대문구,답십리로52길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-11,2,374680,음성군,맹동면,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-11,2,439020,동대문구,약령시로17길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-11,2,441170,동대문구,답십리로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-11,2,267500,동대문구,신이문로2길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,1,133750,동대문구,무학로26길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,35020,동대문구,장한로33길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,4,911220,동대문구,서울시립대로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,266560,동대문구,답십리로,127.0398966,37.57439172
서울 동대문구 이문 쌍용 116동,2021-06-14,2,55760,동대문구,한천로58길,127.067754,37.6017946
서울 동대문구 천호대로 145,2021-06-14,2,266560,동대문구,제기로31길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,149100,동대문구,약령시로5길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,299520,동대문구,장한로20길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,781450,동대문구,답십리로23길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,3,501480,동대문구,외대역동로20길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,2,294240,동대문구,천호대로9가길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-14,3,83640,동대문구,답십리로56길,127.0398966,37.57439172
서울 동대문구 장안ㅤㅂㅓㅊ꽃로 107,2021-06-15,2,267500,동대문구,장안벚꽃로,127.075096,37.5710396
서울 동대문구 천호대로 145,2021-06-15,2,333890,동대문구,제기로21길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-15,4,535000,동대문구,고산자로62길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-15,4,1303900,동대문구,답십리로23길,127.0398966,37.57439172
동대문구 전농제2동 장안1동 415-2,2021-06-16,1,179220,동대문구,답십리로65길,127.061551,37.562587
서울 동대문구 천호대로 145,2021-06-16,3,224730,동대문구,전농로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-16,3,702540,동대문구,한천로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-16,3,76550,동대문구,답십리로15길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,2,441390,동대문구,한천로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,3,560910,동대문구,장한로14길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,2,411820,동대문구,한천로43길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,3,413170,동대문구,외대역동로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,2,411130,동대문구,망우로12나길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,2,307620,동대문구,장안벚꽃로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-17,2,284120,동대문구,제기로17길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-18,2,786660,동대문구,답십리로,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-18,2,396180,동대문구,신이문로22길,127.0398966,37.57439172
서울 동대문구 천호대로 145,2021-06-21,2,388060,동대문구,왕산로19라길,127.0398966,37.57439172
동대문구 답십리제2동 전농동 55-26,2021-06-21,2,266560,동대문구,전농로20다길,127.055689,37.5797356
동대문구,2021-06-21,2,388560,동대문구,전농로16길,127.039657,37.57452298
동대문구 전농제1동 제기로17길 37,2021-06-22,3,694480,동대문구,고산자로52길,127.040875,37.5884631
동대문구 전농제1동 제기로23-2,2021-06-22,1,166890,관악구,쑥고개로,127.035711,37.5866717
동대문구 답십리제2동 천호대로77다길 11-7,2021-06-22,2,577640,강남구,개포로109길,127.064406,37.5660092
서울 동대문구 천호대로 145,2021-06-22,4,817580,동대문구,서울시립대로,127.0398966,37.57439172
