학교종류명,설립구분,학교명,도로명주소
고등학교,사립,인창고등학교,서울특별시 서대문구 경기대로 65
고등학교,사립,이화여자외국어고등학교,서울특별시 중구 통일로4길 30
고등학교,사립,이화여자고등학교,서울특별시 중구 정동길
고등학교,사립,은광여자고등학교,서울특별시 강남구 남부순환로359길 36
고등학교,사립,우신고등학교,서울특별시 구로구 부일로 917
고등학교,사립,용화여자고등학교,서울특별시 노원구 동일로 1461
고등학교,사립,용문고등학교,서울특별시 성북구 고려대로17가길 46
고등학교,사립,오산고등학교,서울특별시 용산구 보광로7길 17
고등학교,사립,예일여자고등학교,서울특별시 은평구 연서로 117
고등학교,사립,영훈고등학교,서울특별시 강북구 도봉로13가길 19
고등학교,사립,영파여자고등학교,서울특별시 송파구 올림픽로 565
고등학교,사립,영일고등학교,서울특별시 강서구 등촌로51가길 26
고등학교,사립,영신여자고등학교,서울특별시 노원구 중계로16나길 13
고등학교,사립,영락고등학교,서울특별시 관악구 청룡16길 25
고등학교,사립,영동고등학교,서울특별시 강남구 선릉로 742
고등학교,사립,양천고등학교,서울특별시 양천구 신정로14길 13
고등학교,사립,양정고등학교,서울특별시 양천구 안양천로 1039
고등학교,사립,신일고등학교,서울특별시 강북구 솔매로49길 20
고등학교,사립,신광여자고등학교,서울특별시 용산구 청파로 263
고등학교,사립,숭의여자고등학교,서울특별시 동작구 여의대방로36길 79
고등학교,사립,숭실고등학교,서울특별시 은평구 은평터널로7길 6
고등학교,사립,숭문고등학교,서울특별시 마포구 숭문길 99
고등학교,사립,숙명여자고등학교,서울특별시 강남구 남부순환로 2807
고등학교,사립,송곡여자고등학교,서울특별시 중랑구 양원역로 67
고등학교,사립,송곡고등학교,서울특별시 중랑구 양원역로 50
고등학교,사립,세화여자고등학교,서울특별시 서초구 신반포로 56-7
고등학교,사립,세화고등학교,서울특별시 서초구 신반포로 56-7
고등학교,사립,성심여자고등학교,서울특별시 용산구 원효로19길 49
고등학교,사립,성신여자고등학교,서울특별시 성북구 동소문로26가길 80
고등학교,사립,성보고등학교,서울특별시 관악구 남부순환로156길 39
고등학교,사립,성남고등학교,서울특별시 동작구 대방동길 74
고등학교,사립,선화예술고등학교,서울특별시 광진구 천호대로 664
고등학교,사립,선정고등학교,서울특별시 은평구 서오릉로20길 19
고등학교,사립,선일여자고등학교,서울특별시 은평구 갈현로29길 27
고등학교,사립,선덕고등학교,서울특별시 도봉구 시루봉로 53
고등학교,사립,서울외국어고등학교,서울특별시 도봉구 덕릉로66길 22
고등학교,사립,서울예술고등학교,서울특별시 종로구 평창문화로 70
고등학교,사립,서울세종고등학교,서울특별시 강남구 광평로51길 36
고등학교,사립,서울미술고등학교,서울특별시 관악구 남부순환로247길 26
고등학교,사립,서문여자고등학교,서울특별시 서초구 동광로12길 84
고등학교,사립,서라벌고등학교,서울특별시 노원구 한글비석로5길 18
고등학교,사립,상일여자고등학교,서울특별시 강동구 천호대로219길 61
고등학교,사립,상문고등학교,서울특별시 서초구 명달로 45
고등학교,사립,상명대학교사범대학부속여자고등학교,서울특별시 종로구 홍지문2길 20
고등학교,사립,보성여자고등학교,서울특별시 용산구 신흥로3가길 66
고등학교,사립,보성고등학교,서울특별시 송파구 양재대로 1278
고등학교,사립,백암고등학교,서울특별시 양천구 신정로13길 16
고등학교,사립,배화여자고등학교,서울특별시 종로구 필운대로1길 34
고등학교,사립,배재고등학교,서울특별시 강동구 고덕로 227
