"id","nm","adr","x","y","park_lot"
1064,"","서울특별시 동대문구 용두동 129-164번지",127.0317214,37.57184762,3
1065,"","서울특별시 동대문구 용두동 129-165번지",127.0317189,37.57168581,4
1066,"","서울특별시 동대문구 용두동 129-167번지",127.0314051,37.57226973,4
1067,"","서울특별시 동대문구 용두동 129-168번지",127.0313909,37.57213171,6
1068,"","서울특별시 동대문구 용두동 129-169번지",127.0313805,37.57199476,4
1069,"","서울특별시 동대문구 용두동 129-170번지",127.0313716,37.57185988,4
1070,"","서울특별시 동대문구 용두동 129-171번지",127.0313621,37.57172302,3
1071,"로얄팰리스","서울특별시 동대문구 용두동 129-172번지",127.0313106,37.57158113,11
1072,"","서울특별시 동대문구 용두동 129-174번지",127.031343,37.57141137,4
1073,"","서울특별시 동대문구 용두동 129-175번지",127.0313364,37.57127118,4
1074,"","서울특별시 동대문구 용두동 129-182번지",127.0327852,37.57164308,1
1075,"보람맨션","서울특별시 동대문구 용두동 129-188번지",127.0324543,37.57167038,7
1076,"","서울특별시 동대문구 용두동 129-18번지",127.0311021,37.57146162,4
1077,"","서울특별시 동대문구 용두동 129-198번지",127.0320925,37.57168003,2
1078,"","서울특별시 동대문구 용두동 129-203번지",127.033525,37.57336638,17
1079,"","서울특별시 동대문구 용두동 129-206번지",127.0327042,37.57178582,6
1080,"","서울특별시 동대문구 용두동 129-209번지",127.0322569,37.57180342,2
1081,"","서울특별시 동대문구 용두동 129-212번지",127.0318939,37.57182145,3
1082,"","서울특별시 동대문구 용두동 129-213번지",127.031565,37.57169125,4
1083,"","서울특별시 동대문구 용두동 129-214번지",127.031558,37.57158764,3
1084,"","서울특별시 동대문구 용두동 129-215번지",127.031712,37.57158327,3
1085,"","서울특별시 동대문구 용두동 129-216번지",127.0317038,37.57148867,3
1086,"","서울특별시 동대문구 용두동 129-217번지",127.0315504,37.57148889,3
1087,"","서울특별시 동대문구 용두동 129-218번지",127.0315433,37.57139051,2
1088,"","서울특별시 동대문구 용두동 129-219번지",127.0316971,37.57139578,3
1089,"","서울특별시 동대문구 용두동 129-222번지",127.0326508,37.57165924,2
1090,"","서울특별시 동대문구 용두동 129-223번지",127.0326436,37.57152878,4
1091,"","서울특별시 동대문구 용두동 129-228번지",127.0322967,37.57167204,2
1092,"","서울특별시 동대문구 용두동 129-229번지",127.0322919,37.57158168,2
1093,"로얄팰리스","서울특별시 동대문구 용두동 129-231번지",127.0324443,37.57150018,11
1094,"","서울특별시 동대문구 용두동 129-232번지",127.0322856,37.57149428,2
1095,"","서울특별시 동대문구 용두동 129-233번지",127.0322776,37.57140689,2
1096,"","서울특별시 동대문구 용두동 129-236번지",127.0322719,37.57131688,2
1097,"","서울특별시 동대문구 용두동 129-237번지",127.031928,37.57168566,3
1098,"","서울특별시 동대문구 용두동 129-239번지",127.0320858,37.57158831,2
1099,"","서울특별시 동대문구 용두동 129-240번지",127.0320795,37.57149911,2
1100,"","서울특별시 동대문구 용두동 129-241번지",127.0319157,37.5715006,3
1101,"","서울특별시 동대문구 용두동 129-242번지",127.0319103,37.57140897,2
1102,"","서울특별시 동대문구 용두동 129-243번지",127.0320732,37.57140901,2
1103,"","서울특별시 동대문구 용두동 129-244번지",127.0320673,37.57131567,2
1104,"","서울특별시 동대문구 용두동 129-245번지",127.0319022,37.57131274,3
1105,"","서울특별시 동대문구 용두동 129-254번지",127.0329492,37.5714868,1
1106,"","서울특별시 동대문구 용두동 129-256번지",127.0335334,37.5731778,2
1107,"","서울특별시 동대문구 용두동 129-258번지",127.0335399,37.57300076,2
1108,"용두동 근생 및 다가구주택","서울특별시 동대문구 용두동 129-259번지",127.0335437,37.57290894,3
1109,"","서울특별시 동대문구 용두동 129-261번지",127.0335502,37.57272685,3
1110,"","서울특별시 동대문구 용두동 129-262번지",127.0335557,37.57263233,2
1111,"","서울특별시 동대문구 용두동 129-267번지",127.0342681,37.57307713,13
1112,"빌드아르떼","서울특별시 동대문구 용두동 129-270번지",127.034409,37.57288932,8
1113,"용두빗물펌프장","서울특별시 동대문구 용두동 129-274번지",127.0341327,37.57254657,4
1114,"청계 The Hill","서울특별시 동대문구 용두동 129-275번지",127.0341548,37.57283741,6
1115,"","서울특별시 동대문구 용두동 129-277번지",127.0339146,37.57280775,1
1116,"청계로얄팰리스","서울특별시 동대문구 용두동 129-294번지",127.0339089,37.57245194,8
1117,"","서울특별시 동대문구 용두동 129-296번지",127.0337352,37.57337921,4
1118,"","서울특별시 동대문구 용두동 129-297번지",127.033739,37.57329145,2
1119,"청계리버빌","서울특별시 동대문구 용두동 129-298번지",127.0337452,37.57315387,8
1120,"","서울특별시 동대문구 용두동 129-29번지",127.0311275,37.57185607,2
1121,"","서울특별시 동대문구 용두동 129-2번지",127.0338877,37.57336628,2
1122,"","서울특별시 동대문구 용두동 129-300번지",127.0333843,37.57313964,2
1123,"","서울특별시 동대문구 용두동 129-301번지",127.0333881,37.57304747,1
1124,"","서울특별시 동대문구 용두동 129-302번지",127.0333924,37.57295593,1
1125,"","서울특별시 동대문구 용두동 129-303번지",127.0333953,37.57286475,2
1126,"","서울특별시 동대문구 용두동 129-304번지",127.0333992,37.5727723,1
1127,"","서울특별시 동대문구 용두동 129-305번지",127.0334041,37.57265472,3
1128,"","서울특별시 동대문구 용두동 129-315번지",127.0339128,37.57309327,2
1129,"","서울특별시 동대문구 용두동 129-318번지",127.0339056,37.57326554,2
1130,"","서울특별시 동대문구 용두동 129-321번지",127.0341494,37.57301869,2
1131,"청계리버빌","서울특별시 동대문구 용두동 129-327번지",127.0337512,37.57296375,8
