순번,대지위치,시군구코드,법정동코드,관리건축물대장PK,도로명대지위치,건물명,주용도코드,옥내기계식대수(대),옥외기계식대수(대),옥내자주식대수(대),옥외자주식대수(대),총주차면수,위치별선택,X,Y
15562,서울특별시 동대문구 장안동 194-30번지,11230,10600,11230-100228312,서울특별시 동대문구 답십리로64길 131,마량 그린파크,1000,0,0,4,1,5,1,127.0643576,37.5673864
15576,서울특별시 동대문구 장안동 194-6번지,11230,10600,11230-10998,서울특별시 동대문구 한천로14길 29-12,,1000,0,0,0,1,1,1,127.0648352,37.56756084
15577,서울특별시 동대문구 장안동 194-7번지,11230,10600,11230-17156,서울특별시 동대문구 한천로14길 29-16,,1000,0,0,0,1,1,1,127.0649084,37.56764036
15581,서울특별시 동대문구 장안동 195-11번지,11230,10600,11230-18714,서울특별시 동대문구 한천로14길 26,,4000,0,0,0,4,4,1,127.0640817,37.56698732
15585,서울특별시 동대문구 장안동 195-4번지,11230,10600,11230-100229772,서울특별시 동대문구 천호대로77길 119,장안파크빌,2000,0,0,0,8,8,1,127.0642867,37.56685548
15586,서울특별시 동대문구 장안동 195-7번지,11230,10600,11230-35641,서울특별시 동대문구 한천로14길 28,,3000,0,0,0,3,3,1,127.0641858,37.56695041
15591,서울특별시 동대문구 장안동 215-17번지,11230,10600,11230-29097,서울특별시 동대문구 천호대로77길 111,,3000,0,0,0,1,1,1,127.0640238,37.56657361
15592,서울특별시 동대문구 장안동 215-19번지,11230,10600,11230-34388,서울특별시 동대문구 천호대로77길 109,,1000,0,0,0,1,1,1,127.0639533,37.5664995
15595,서울특별시 동대문구 장안동 215-24번지,11230,10600,11230-35470,서울특별시 동대문구 천호대로77길 103,,1000,0,0,0,2,2,1,127.0637537,37.56626237
15602,서울특별시 동대문구 장안동 215-37번지,11230,10600,11230-27084,서울특별시 동대문구 장한로5가길 19,,2000,0,0,0,2,2,1,127.0636675,37.56652218
15616,서울특별시 동대문구 장안동 216-19번지,11230,10600,11230-26729,서울특별시 동대문구 장한로5길 66,,1000,0,0,0,2,2,1,127.0631484,37.56578463
15620,서울특별시 동대문구 장안동 216-23번지,11230,10600,11230-33936,서울특별시 동대문구 한천로10길 44-18,,1000,0,0,1,0,1,1,127.0632423,37.56603659
15637,서울특별시 동대문구 장안동 218-11번지,11230,10600,11230-17250,서울특별시 동대문구 한천로10길 18,,3000,0,0,9,2,11,1,127.0621614,37.56571992
15645,서울특별시 동대문구 장안동 218-22번지,11230,10600,11230-100221252,서울특별시 동대문구 장한로5길 69-6,올림푸스,2000,0,0,9,4,13,1,127.0626738,37.56573668
15652,서울특별시 동대문구 장안동 219-14번지,11230,10600,11230-7380,서울특별시 동대문구 한천로10길 16-8,,2000,0,0,8,1,9,1,127.0620332,37.56538896
15653,서울특별시 동대문구 장안동 219-16번지,11230,10600,11230-23517,서울특별시 동대문구 한천로10길 16-12,,2000,0,0,6,2,8,1,127.0622441,37.56525262
15654,서울특별시 동대문구 장안동 219-1번지,11230,10600,11230-7560,서울특별시 동대문구 한천로10길 10,,4000,0,0,2,8,10,1,127.0618284,37.56551692
15655,서울특별시 동대문구 장안동 219-4번지,11230,10600,11230-23453,서울특별시 동대문구 한천로8가길 17-1,,1000,0,0,0,2,2,1,127.0621315,37.56508357
15659,서울특별시 동대문구 장안동 237-1번지,11230,10600,11230-32340,서울특별시 동대문구 한천로8가길 7,,4000,0,0,2,0,2,1,127.0615706,37.56542948
15665,서울특별시 동대문구 장안동 237-26번지,11230,10600,11230-8882,서울특별시 동대문구 한천로8길 15,,3000,0,0,0,3,3,1,127.0617523,37.56491384
15674,서울특별시 동대문구 장안동 237-34번지,11230,10600,11230-8672,서울특별시 동대문구 한천로8가길 12,,1000,0,0,0,1,1,1,127.0616561,37.56521031
15677,서울특별시 동대문구 장안동 237-37번지,11230,10600,11230-20820,서울특별시 동대문구 한천로8길 7,,3000,0,0,1,2,3,1,127.0613742,37.56513262
15691,서울특별시 동대문구 장안동 239-14번지,11230,10600,11230-28282,서울특별시 동대문구 한천로6가길 14,,1000,0,0,0,1,1,1,127.0607027,37.56443956
15695,서울특별시 동대문구 장안동 239-18번지,11230,10600,11230-10369,서울특별시 동대문구 한천로6길 11,,1000,0,0,0,6,6,1,127.0603423,37.56409015
15707,서울특별시 동대문구 장안동 239-2번지,11230,10600,11230-100264555,서울특별시 동대문구 한천로6길 21,다목적강당,10000,0,0,0,5,5,1,127.0613156,37.56420624
15720,서울특별시 동대문구 장안동 241-13번지,11230,10600,11230-17914,서울특별시 동대문구 한천로4길 13-3,동재 APT(A동),2000,0,0,16,3,19,1,127.0596298,37.56383247
15721,서울특별시 동대문구 장안동 241-5번지,11230,10600,11230-30559,서울특별시 동대문구 한천로6길 8,,3000,0,0,0,4,4,1,127.0598515,37.56409806
15723,서울특별시 동대문구 장안동 241-8번지,11230,10600,11230-33728,서울특별시 동대문구 한천로4길 13-5,동재아파트(B동),2000,0,0,8,5,13,1,127.0597862,37.56395439
15730,서울특별시 동대문구 장안동 284-11번지,11230,10600,11230-100256835,서울특별시 동대문구 한천로46길 112,동성네스트,2000,0,0,5,5,10,1,127.0745182,37.58105725
15735,서울특별시 동대문구 장안동 284-3번지,11230,10600,11230-31083,서울특별시 동대문구 한천로46길 114,푸른마을아파트,2000,0,0,8,11,19,1,127.074783,37.58096734
15736,서울특별시 동대문구 장안동 284-5번지,11230,10600,11230-100214352,서울특별시 동대문구 사가정로 253,제2기동단 숙영시설,14000,0,0,20,19,39,1,127.0729064,37.57962388
15740,서울특별시 동대문구 장안동 285-1번지,11230,10600,11230-34721,서울특별시 동대문구 사가정로 229,,4000,0,8,0,0,8,1,127.0704429,37.57899332
15742,서울특별시 동대문구 장안동 285-4번지,11230,10600,11230-15254,서울특별시 동대문구 사가정로 233,,4000,0,0,0,4,4,1,127.0708858,37.57900198
15744,서울특별시 동대문구 장안동 286-10번지,11230,10600,11230-14366,서울특별시 동대문구 답십리로65길 130,,3000,0,0,1,2,3,1,127.0703376,37.57830278
15749,서울특별시 동대문구 장안동 286-4번지,11230,10600,11230-100240275,서울특별시 동대문구 사가정로 232,,1000,0,0,0,7,7,1,127.0707898,37.57852856
15750,서울특별시 동대문구 장안동 286-5번지,11230,10600,11230-1644,서울특별시 동대문구 사가정로 234,나동,3000,0,0,0,6,6,1,127.0710363,37.57854247
15754,서울특별시 동대문구 장안동 286-9번지,11230,10600,11230-29513,서울특별시 동대문구 답십리로65길 124-5,,20000,77,0,4,0,81,1,127.0705994,37.57826829
15755,서울특별시 동대문구 장안동 287-10번지,11230,10600,11230-34180,서울특별시 동대문구 답십리로65길 108-5,,2000,0,0,0,8,8,1,127.0703454,37.57744196
15757,서울특별시 동대문구 장안동 287-2번지,11230,10600,11230-34920,서울특별시 동대문구 답십리로65길 124-4,,3000,0,0,2,2,4,1,127.0704323,37.57800341
15761,서울특별시 동대문구 장안동 287-5번지,11230,10600,11230-23842,서울특별시 동대문구 장한로27나길 97,,4000,0,0,0,12,12,1,127.0706045,37.57748884
15762,서울특별시 동대문구 장안동 287-6번지,11230,10600,11230-7150,서울특별시 동대문구 답십리로65길 110,,4000,0,0,0,8,8,1,127.070172,37.57747108
15765,서울특별시 동대문구 장안동 287-8번지,11230,10600,11230-100214073,서울특별시 동대문구 답십리로65길 120,이가채,2000,0,0,20,0,20,1,127.0703116,37.57783031
15767,서울특별시 동대문구 장안동 288-12번지,11230,10600,11230-100231132,서울특별시 동대문구 장한로33길 30,장안홈,2000,0,0,0,8,8,1,127.0702821,37.576582
15781,서울특별시 동대문구 장안동 288-28번지,11230,10600,11230-11374,서울특별시 동대문구 장한로33길 34,,1000,0,0,0,1,1,1,127.0699982,37.57662776
15782,서울특별시 동대문구 장안동 288-29번지,11230,10600,11230-29141,서울특별시 동대문구 장한로33길 34-3,,1000,0,0,0,1,1,1,127.0700697,37.57673313
15784,서울특별시 동대문구 장안동 288-30번지,11230,10600,11230-100261295,서울특별시 동대문구 답십리로65길 98,이든빌,2000,0,0,5,3,8,1,127.0701018,37.57686205
15799,서울특별시 동대문구 장안동 288-9번지,11230,10600,11230-100237832,서울특별시 동대문구 장한로33길 26,,2000,0,0,0,11,11,1,127.0705037,37.57658953
15801,서울특별시 동대문구 장안동 289-11번지,11230,10600,11230-26344,서울특별시 동대문구 장한로33길 31,,3000,0,0,2,2,4,1,127.070083,37.57643787
15804,서울특별시 동대문구 장안동 289-14번지,11230,10600,11230-100213992,서울특별시 동대문구 장한로31길 34-11,한아름빌,2000,0,0,3,2,5,1,127.0700189,37.57605543
15806,서울특별시 동대문구 장안동 289-16번지,11230,10600,11230-10847,서울특별시 동대문구 답십리로65길 74,,4000,0,0,0,2,2,1,127.0698549,37.57582839
15807,서울특별시 동대문구 장안동 289-17번지,11230,10600,11230-25025,서울특별시 동대문구 장한로31길 34-7,,1000,0,0,0,1,1,1,127.0699866,37.5758148
15808,서울특별시 동대문구 장안동 289-18번지,11230,10600,11230-32129,서울특별시 동대문구 답십리로65길 70,,3000,0,0,0,2,2,1,127.0698109,37.57565534
