gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관,교통량,경제인구,sum,순위
다사84aa53bb,0,127.3201965,37.58412832,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa54aa,0,127.3201911,37.58638169,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa54ab,0,127.3201857,37.58863506,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa54bb,0,127.3201748,37.5931418,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa55aa,0,127.3201694,37.59539517,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa55ab,0,127.320164,37.59764854,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa55ba,0,127.3201585,37.59990191,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa55bb,0,127.3201531,37.60215528,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa56ab,0,127.3201423,37.60666201,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa56ba,0,127.3201368,37.60891537,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa56bb,0,127.3201314,37.61116874,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa57aa,0,127.320126,37.6134221,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa57ab,0,127.3201206,37.61567546,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa57ba,0,127.3201151,37.61792882,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa57bb,0,127.3201097,37.62018218,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa58aa,0,127.3201043,37.62243554,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa58ab,0,127.3200988,37.6246889,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa58ba,0,127.3200934,37.62694226,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa60ab,0,127.3200554,37.64271573,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa63aa,0,127.3199955,37.66750254,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa63ab,0,127.3199901,37.66975588,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa63ba,0,127.3199847,37.67200922,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa63bb,0,127.3199792,37.67426256,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa64aa,0,127.3199738,37.6765159,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
다사84aa64ab,0,127.3199683,37.67876924,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1484
